Step,Actual Price,Next Price,Model Prediction,Actual Label,Result
195,23991.25,23979.1,Flat,Up,Wrong!
196,23979.1,23974.65,Flat,Flat,Correct!
197,23974.65,23973.95,Flat,Up,Wrong!
198,23973.95,23986.15,Flat,Up,Wrong!
199,23986.15,23970.7,Flat,Up,Wrong!
200,23970.7,23975.35,Flat,Up,Wrong!
201,23975.35,23975.8,Flat,Up,Wrong!
202,23975.8,23983.1,Flat,Up,Wrong!
203,23983.1,23983.75,Flat,Down,Wrong!
204,23983.75,23984.35,Flat,Up,Wrong!
205,23984.35,23988.9,Flat,Up,Wrong!
206,23988.9,23990.4,Flat,Down,Wrong!
207,23990.4,24017.45,Flat,Up,Wrong!
208,24017.45,24013.0,Flat,Up,Wrong!
209,24013.0,24040.5,Flat,Down,Wrong!
210,24040.5,24046.1,Flat,Up,Wrong!
211,24046.1,24024.4,Flat,Down,Wrong!
212,24024.4,24027.4,Flat,Up,Wrong!
213,24027.4,24048.5,Flat,Up,Wrong!
214,24048.5,24032.85,Flat,Down,Wrong!
215,24032.85,24046.9,Flat,Down,Wrong!
216,24046.9,24044.95,Flat,Down,Wrong!
217,24044.95,24060.05,Flat,Flat,Correct!
218,24060.05,24072.85,Flat,Down,Wrong!
219,24072.85,24057.65,Flat,Down,Wrong!
220,24057.65,24040.7,Flat,Up,Wrong!
221,24040.7,24019.1,Flat,Down,Wrong!
222,24019.1,24018.6,Flat,Down,Wrong!
223,24018.6,23959.95,Flat,Down,Wrong!
224,23959.95,23873.35,Flat,Up,Wrong!
225,23873.35,23958.9,Flat,Down,Wrong!
226,23958.9,23935.0,Flat,Down,Wrong!
227,23935.0,23912.5,Flat,Up,Wrong!
228,23912.5,23910.35,Flat,Up,Wrong!
229,23910.35,23926.1,Flat,Up,Wrong!
230,23926.1,23922.8,Flat,Down,Wrong!
231,23922.8,23912.5,Flat,Up,Wrong!
232,23912.5,23917.3,Flat,Up,Wrong!
233,23917.3,23920.35,Flat,Down,Wrong!
234,23920.35,23922.25,Flat,Up,Wrong!
235,23922.25,23916.65,Flat,Up,Wrong!
236,23916.65,23947.2,Flat,Up,Wrong!
237,23947.2,23952.65,Flat,Up,Wrong!
238,23952.65,23948.4,Flat,Up,Wrong!
239,23948.4,23965.95,Flat,Down,Wrong!
240,23965.95,23974.1,Flat,Down,Wrong!
241,23974.1,23988.6,Flat,Down,Wrong!
242,23988.6,24000.55,Flat,Flat,Correct!
243,24000.55,24002.6,Flat,Down,Wrong!
244,24002.6,23982.35,Flat,Down,Wrong!
245,23982.35,23974.1,Flat,Down,Wrong!
246,23974.1,23960.25,Flat,Down,Wrong!
247,23960.25,23959.95,Flat,Up,Wrong!
248,23959.95,23956.25,Flat,Down,Wrong!
249,23956.25,23946.3,Flat,Down,Wrong!
250,23946.3,23941.25,Flat,Up,Wrong!
251,23941.25,23921.65,Flat,Down,Wrong!
252,23921.65,23925.0,Flat,Up,Wrong!
253,23925.0,23923.05,Flat,Up,Wrong!
254,23923.05,23919.75,Flat,Up,Wrong!
